id,dimension,type,typeName,title,options,correct,analysis
"32,人工智能意识,multiple,""多项选择",下列技术中，属于人工智能基础核心技术的有（,"""""图像识别技",语音识别技,自然语言处理技,机械传动技,""",""A,B,C"",图像识别、语音识别、自然语言处理均是人工智能的核心基础技术；机械传动技术属于传统机械领域，不属于AI技术",
"35,人工智能意识,multiple,""多项选择",下列关于人工智能的说法，正确的有,,"""""人工智能技术已经融入我们的日常生活"",人工智能的发展需要全社会的共同关",人工智能是模拟人类智能的技术科,人工智能技术只会给人类带来便利，没有任何风,",""A,B,C"",人工智能技术已全面融入日常生活，是模拟人类智能的技术科学，其发展需要全社会共同关注；同时AI技术也存在隐私泄露、算法偏见等风险，需要理性看待",
"53,人工智能思维,single,""单项选择",下列关于算法的说法，正确的是,,"""""算法是解决问题的一套明确、有序的步骤"",同一问题只能有一种算",算法只能被计算机执行，人类无法使,算法必须包含复杂的数学公,",A,算法是解决特定问题的、明确的、有序的、可执行的步骤集合；同一问题可以有多种不同的算法，人类也可以使用算法解决日常问题，算法不一定要包含复杂的数学公式",
"56,人工智能思维,single,""单项选择",要让AI模型学会识别不同的水果，下列步骤顺序正确的是,,"""""收集数据→标注数据→训练模型→测试模",训练模型→收集数据→标注数据→测试模?测试模型→训练模型→收集数据→标注数,标注数据→收集数据→测试模型→训练模,""",A,监督学习的完整流程是：先收集对应的数据，再对数据进行标注，然后用标注好的数据训练模型，最后用新数据测试模型的效果",
"57,人工智能思维,single,""单项选择",下列关于机器学习的说法，正确的是,,"""""机器学习是让机器从数据中学习规律，优化自身表现的技",机器学习不需要任何数据支?机器学习就是人工编写代码，让机器按固定规则执,机器学习的模型一旦训练完成，就永远不会出,""",A,机器学习是人工智能的核心分支，其核心是让机器从数据中自主学习规律，优化自身的表现；机器学习必须依赖数据支持，与传统固定规则的程序有本质区别，训练完成的模型也可能出现错误",
"59,人工智能思维,single,""单项选择",下列行为中，体现了计算思维的是,,"""""把复杂的大任务拆解成多个简单的小步骤，逐步完成"",遇到问题直接求助别人，不自己思",凭感觉做事，不制定计,所有事情都用同一种方法解,",A,计算思维的核心方法包括任务拆解、模式识别、抽象、算法设计等，将复杂大任务拆解为简单小步骤逐步完成，是计算思维最典型的体现",
"60,人工智能思维,single,""单项选择",下列关于监督学习的说法，正确的是,,"""""监督学习需要对训练数据进行标注，明确输入与输出的对应关",监督学习不需要任何标注数,监督学习只能用于语音识别，不能用于图像识,"监督学习是让机器自主从数据中发现规律，无需人类干预"""""",A,监督学习的核心特征是需要对训练数据进行标注，明确输入数据对应的输出结果，让模型学习二者的对应关系；它广泛应用于图像识别、语音识别等多个领域，需要人类进行数据标注等干预",
"61,人工智能思维,single,""单项选择",AI模型训练完成后，需要用新的、没见过的数据测试它，这个过程的主要目的是（,"""""检验模型的泛化能力，看它在新数据上的表",增加训练数据的数,修改模型的算,"给数据做标注"""""",A,用未参与训练的新数据测试模型，核心目的是检验模型的泛化能力，也就是模型在从未见过的新数据上的识",预测效果，避免模型只在训练数据上表现好，在实际场景中表现差,
"85,人工智能思维,multiple,""多项选择",下列关于监督学习和无监督学习的说法，正确的有,,"""""监督学习需要标注数据，无监督学习不需","二者都是机器学习的核心分支"",监督学习常用于分类、识别任务，无监督学习常用于聚类、规律发",监督学习一定比无监督学习更,",""A,B,C"",监督学习和无监督学习是机器学习的两大核心分支，核心区别在于是否需要标注数据；监督学习常用于分类、识别任务，无监督学习常用于聚类、规律发现；二者适用场景不同，没有绝对的优劣之分",
"88,人工智能思维,multiple,""多项选择",下列关于数据与AI的关系，说法正确的有,,"""""数据是AI学习的基础"",数据的质量直接影响AI模型的表",数据的多样性决定了AI模型的泛化能,AI可以脱离数据自主学习和进,",""A,B,C"",数据是AI学习的基础，没有数据AI就无法学习；数据的质量、多样性直接影响AI模型的表现和泛化能力；AI无法脱离数据自主学习和进化",
"101,人工智能应用与创新能","single,""单项选择",小学生在完成作文作业时，关于AI生成工具的使用，下列做法正确的是,,"""""在老师指导下，用AI生成写作思路，自己完成作?直接让AI生成完整作文，抄写到作业本上"",用AI生成的作文参加作文比",把AI生成的作文署上自己的名字发布到网,",B,根据中小学AI教育规范，AI工具是学习的辅助手段，应在老师指导下用AI辅助拓展思路，自主完成核心创作；直接抄袭AI生成内容、用于比赛、署自己名字发布均是违规行为，违背了学习的本质和学术诚信",
"105,人工智能应用与创新能","single,""单项选择",下列关于AI工具的局限性，说法正确的是,,"""""AI工具的输出可能存在错误，需要人类进行验证和判断"",AI工具是万能的，能解决所有问?AI工具的答案永远是正确的，不需要怀",AI工具能完全替代人类的思考和创,",A,AI工具存在固有的局限性，其输出可能存在错误、偏见、内容失真等问题，必须由人类进行验证和判断；AI不是万能的，无法完全替代人类的思考和创造",
"106,人工智能应用与创新能","single,""单项选择",下列行为中，能体现对AI工具合理运用的是,,"""""用AI翻译工具辅助自己学习英语，同时自己也进行单词记忆"",""所有英语作业都用AI翻译工具完成，自己不做任何学",用AI翻译工具生成考试作弊的内,"把AI翻译的内容当成自己的作品参加翻译比赛"""""",A,合理运用AI工具的核心，是将其作为学习的辅助手段，而非替代自己学习和思考；用AI翻译辅助英语学习，同时自主记忆单词，是合理的使用方式",
"107,人工智能应用与创新能","single,""单项选择",面对AI给出的错误答案，下列做法最合理的是,,"""""核对正确答案，分析AI出错的原因，合理调整提问方式"",再也不使用任何AI工具,继续相信AI的答案，认为是正确答案错",把错误答案转发给所有同,",A,面对AI的错误答案，最合理的做法是核对正确答案，分析AI出错的原因，优化提问方式，这体现了对AI工具的批判性使用和合理运用能力；其他做法均不理性",
"108,人工智能应用与创新能","single,""单项选择",下列关于AI应用的说法，正确的是,,"""""AI应用需要结合实际需求，才能发挥最大价?只要技术先进，不管有没有需求，AI应用都有价","AI应用只能由专业的工程师设计，学生无法参与"",AI应用越复杂越好，不需要考虑易用",",A,AI应用的核心价值在于解决真实的需求，只有结合实际场景和用户需求，AI技术才能发挥最大价值；学生也可以从身边的需求出发，设计简单的AI应用，易用性是AI应用的重要考量因素",
"110,人工智能应用与创新能","single,""单项选择",下列关于AI创新的说法，正确的是,,"""""AI创新不只是技术创新，也包括应用场景的创新"",AI创新只能是发明全新的AI算法,小学生无法进行任何AI相关的创",AI创新必须用到非常复杂的技,",A,AI创新不仅包括算法、技术的创新，更包括应用场景、解决方案的创新；小学生也可以从身边的需求出发，进行AI应用场景的创新，不一定需要用到复杂的技术",
"111,人工智能应用与创新能","single,""单项选择",同学们想用AI工具完成一个“校园植物识别”的小项目，下列步骤顺序正确的是,,"""""需求分析→技术适配→方案设计→测试优化"",""测试优化→需求分析→技术适配→方案设",技术适配→需求分析→方案设计→测试优,"方案设计→测试优化→需求分析→技术适配"""""",A,AI应用项目设计的核心工程思维流程是：先进行需求分析，明确要解决的问题；再进行技术适配，选择合适的AI技术；然后设计完整的方案；最后进行测试和优化迭代",
"112,人工智能应用与创新能","single,""单项选择",下列行为中，体现了对AI工具的批判性使用的是（,"""""使用AI工具时，始终保持独立思考，不盲目依",所有事情都交给AI做，自己不做任何思,"完全相信AI生成的所有内容，不加辨别"",只要是AI推荐的内容，就全部接",",A,对AI工具的批判性使用，核心是始终保持独立思考，不盲目依赖、不盲目相信AI的输出，始终以人类的判断为核心",
"113,人工智能应用与创新能","single,""单项选择",下列场景中，AI工具的使用能真正提升学习效率的是,,"""""用AI工具整理错题的知识点，辅助自己查漏补?用AI工具直接抄作业答案，不做任何思",用AI工具代替自己完成所有学习任,"上课不认真听讲，下课完全靠AI工具补课"""""",A,AI工具能真正提升学习效率的用法，是辅助自己进行知识整理、查漏补缺，核心还是自主学习和思考；直接抄答案、完全依赖AI，违背了学习的本质，无法真正提升学习能力",
"114,人工智能应用与创新能","single,""单项选择",下列关于AI应用的说法，错误的是,,"""""AI应用可以完全替代人类的所有工?AI应用是人类的辅助工具，需要人类主导使",AI应用需要结合实际场景，才能发挥价,"AI应用的使用需要遵守法律法规和道德规范"""""",A,AI应用是人类的辅助工具，只能替代部分重复性、规律性的工作，无法完全替代人类的创造性、情感性、决策性工作，更无法替代人类的所有工作",
"116,人工智能应用与创新能","single,""单项选择",下列关于AI创新的说法，错误的是,,"""""AI创新必须用到高端的设备和复杂的技?AI创新可以从身边的小需求出","小学生也可以进行简单的AI应用创新"",AI创新需要结合实际需求，解决真实的问",",A,AI创新的核心是解决真实的问题，不一定需要高端的设备和复杂的技术；从身边的小需求出发，设计简单的AI应用解决方案，也是非常有价值的创新",
"117,人工智能应用与创新能","single,""单项选择",面对AI工具的快速发展，下列态度最合理的是,,"""""主动学习AI知识，合理使用AI工具，同时保持独立思考和创新能力"",完全拒绝AI工具，不接触任何AI相关的内?完全依赖AI工具，所有事情都交给AI",只关注AI工具的娱乐功能，不学习它的正向应,",A,面对AI技术的发展，最合理的态度是主动学习、合理使用，同时始终保持独立思考和创新能力，不盲目依赖、不完全拒绝，发挥AI的正向价值",
"118,人工智能应用与创新能","single,""单项选择",下列行为中，体现了AI应用创新能力的是,,"""""结合家里老人的需求，设计一个简单的AI语音提醒工具，提醒老人吃药"",用AI工具刷短视频，不做任何创?完全照搬别人的AI应用，不做任何修",只用AI工具玩游戏，不探索其他应,",A,AI应用创新能力的核心，是结合真实的用户需求，设计对应的AI应用解决方案；结合老人的需求设计AI语音提醒工具，是从真实场景出发的创新应用",
"120,人工智能应用与创新能","single,""单项选择",下列场景中，能体现对AI工具合理评估的是,,"""""使用AI绘画工具时，评估生成内容的合规性和适用性，再进行使?只要是AI生成的图片，就直接用于比赛和发布"",不看内容，直接转发AI生成的所有图",用AI生成的图片侵犯别人的肖像,",A,对AI工具的合理评估，指的是使用AI输出内容前，评估其合规性、适用性、版权风险等，再决定是否使用，这是AI应用能力的核心体现",
"123,人工智能应用与创新能","single,""单项选择",下列关于AI工具的说法，正确的是,,"""""AI工具是人类的辅助工具，最终的决策和创造需要由人类完成"",AI工具能完全替代人类的创造能","AI工具的输出都是原创的，不会有版权问题,AI工具能解决人类遇到的所有问",",A,AI工具始终是人类的辅助工具，只能辅助人类完成工作，最终的决策、创造、判断都需要由人类完成；AI无法完全替代人类的创造能力，其输出可能存在版权问题，也不是万能的",
"124,人工智能应用与创新能","single,""单项选择",下列行为中，能体现对AI工具合理运用的是,,"""""用AI工具收集科普资料，辅助自己完成科技节的调查报告"",""用AI工具直接生成调查报告，自己不做任何研",用AI工具生成虚假的调查数,"把AI生成的调查报告署上自己的名字发表"""""",A,合理运用AI工具的核心，是将其作为辅助工具，自主完成核心的研究、思考和创作；用AI收集科普资料辅助调查报告创作，是合理合规的使用方式",
"125,人工智能应用与创新能","single,""单项选择",下列关于AI应用的局限性，说法错误的是,,"""""AI应用能完美应对所有突发情况，没有任何局限?AI应用的表现依赖训练数据，无法应对训练数据之外的极端场","AI应用无法像人类一样进行情感交流和共情"",AI应用的决策可能存在偏差，需要人类进行监",",A,AI应用存在固有的局限性，无法完美应对所有突发情况，只能在训练数据覆盖的场景中发挥作用；其他选项均是AI应用的核心局限性",
"126,人工智能应用与创新能","single,""单项选择",同学们设计AI应用项目时，首先要做的是,,"""""明确用户的真实需求，确定项目要解决的问题"",""直接编写代码，实现技术功",购买高端的设备，搭建复杂的环,"照搬网上的现成项目，不做任何调整"""""",A,设计AI应用项目的第一步，是明确用户的真实需求，确定项目要解决的核心问题；只有明确了需求，后续的技术选型、方案设计才有意义",
"127,人工智能应用与创新能","single,""单项选择",下列关于AI创新的说法，正确的是,,"""""AI创新的核心是解决真实的问题，而不是追求技术的复杂"",AI创新必须用到最先进的技术，否则就没有价","只有专业的科学家才能进行AI创新,AI创新不需要考虑用户的需求，只需要关注技",",A,AI创新的核心价值，是解决真实的问题，而非追求技术的复杂和先进；从真实需求出发的简单创新，也具备极高的价值，普通人也可以参与AI创新",
"128,人工智能应用与创新能","single,""单项选择",下列行为中，体现了批判性评估AI能力的是,,"""""发现AI生成的内容有错误，主动核实并纠正，同时分析出错的原因"",""发现AI生成的内容有错误，就再也不用AI工具",即使发现AI生成的内容有错误，也照样使用和转,"完全不看AI生成的内容，直接复制粘贴使用"""""",A,批判性评估AI能力的核心，是发现AI的错误后，主动核实纠正、分析原因，优化使用方式，始终保持理性判断，而非盲目依赖或完全拒绝",
"129,人工智能应用与创新能","single,""单项选择",下列场景中，AI工具的使用符合中小学使用规范的是,,"""""在老师和家长的指导下，使用AI工具辅助学习"",""独自使用无监管的开放式AI生成工具，完成所有作",用AI工具和陌生人聊天，泄露个人信,"用AI工具生成不良内容，转发给同学"""""",A,根据中小学人工智能教育规范，未成年人使用AI工具，必须在老师和家长的指导下进行，将其作为学习的辅助工具；其他选项均是违规、不安全的使用方式",
"131,人工智能应用与创新能","multiple,""多项选择",下列关于AI工具的使用，说法正确的有,,"""""AI工具是辅助学习和创作的工具，不能完全替代人类的思?使用AI工具时，需要遵守法律法规和道德规范"",要学会批判性评估AI生成的内容，辨别其对错与合理",所有事情都可以交给AI做，自己不需要付出任何努,",""A,B,C"",AI工具是辅助学习和创作的工具，不能替代人类的思考；使用时需要遵守法律法规和道德规范，同时要学会批判性评估AI的输出，辨别其合理性；完全依赖AI、不自主思考是错误的做法",
"133,人工智能应用与创新能","multiple,""多项选择",下列关于AI应用的说法，正确的有,,"""""AI应用需要结合实际需求，解决真实的问?AI应用需要经过测试和优化，才能更好地服务用户"",AI应用的设计需要考虑用户的使用体",AI应用只要技术先进，就一定有价,",""A,B,C"",AI应用的核心价值是解决真实的问题，需要结合实际需求、经过测试优化、兼顾用户体验；仅技术先进但没有真实需求的AI应用，不具备实际价值",
"135,人工智能应用与创新能","multiple,""多项选择",设计AI应用项目时，需要考虑的因素有,,"""""用户的真实需?技术的可行?应用的安全性与合规",用户的使用体,""",""A,B,C,D"",设计AI应用项目时，需要综合考虑用户的真实需求、技术的可行性、应用的安全性与合规性、用户的使用体验等多个维度，以上选项均是需要重点考虑的因素",
"138,人工智能应用与创新能","multiple,""多项选择",下列关于AI创新的说法，正确的有,,"""""小学生也可以从身边的小需求出发，进行AI应用创新"",AI创新不只是技术创新，也包括应用场景和解决方案的创","AI创新需要关注真实的用户需求，解决实际问题,AI创新必须用到非常复杂的技术，否则没有价",",""A,B,C"",AI创新不仅包括技术创新，也包括应用场景和解决方案的创新；小学生也可以从身边的小需求出发进行创新，核心是解决真实问题，不一定需要复杂的技术",
"151,人工智能社会责任,single,""单项选择",下列行为中，符合AI使用中的隐私保护要求的是,,"""""不随意向AI工具上传包含个人隐私的照片、视",向AI工具随意透露自己的家庭住址、身份证,"把同学的个人信息输入AI工具生成内容"",把AI工具收集的个人信息分享给其他",",A,在使用AI工具时，保护个人隐私的核心要求是不随意泄露自己和他人的敏感个人信息；不向AI工具上传隐私照片、视频，是符合隐私保护要求的正确做法",
"157,人工智能社会责任,single,""单项选择",下列关于算法偏见的说法，错误的是,,"""""算法偏见是正常现象，不需要关注和修正"",算法偏见往往源于训练数据的偏差和不完",算法偏见可能会导致不公平的结果，损害部分人群的利,我们需要通过优化数据和算法，来修正算法偏,",A,算法偏见会导致不公平、歧视性的结果，损害社会公平和特定人群的合法权益，是AI伦理中需要重点关注和修正的问题，并非正常现象",
"163,人工智能社会责任,single,""单项选择",下列哪种行为，符合AI使用的伦理规范（,"""""使用AI工具时，不侵犯他人的隐私和知识产",用AI工具生成辱骂他人的内,用AI工具伪造别人的签名和证,用AI工具窃取别人的商业机,""",A,使用AI工具时，尊重他人的隐私和知识产权，是AI使用伦理规范的核心要求；其他选项均是违背伦理规范、甚至违法的行为",
"166,人工智能社会责任,single,""单项选择",下列关于AI与未成年人保护的说法，正确的是（,"""""未成年人使用AI工具，需要在老师和家长的指导下进",未成年人可以随便使用任何AI工具，不需要监,AI工具不会对未成年人产生任何不良影,未成年人使用AI工具，不需要遵守任何规,""",A,根据未成年人保护相关法律法规和AI教育规范，未成年人使用AI工具，必须在老师和家长的指导、监管下进行，避免接触不良内容、泄露个人隐私、形成过度依赖",
"171,人工智能社会责任,single,""单项选择",下列行为中，属于违法违规使用AI技术的是（,"""""用AI技术制作、传播淫秽色情内",用AI技术辅助学生学,用AI技术进行城市交通管,用AI技术进行环境保护监,""",A,用AI技术制作、传播淫秽色情内容，违反了《网络安全法》《治安管理处罚法》《刑法》等相关法律法规，属于严重的违法违规行为；其他选项均是AI技术的正向合规应用",
"172,人工智能社会责任,single,""单项选择",下列关于AI与人类的关系，说法正确的是（,"""""人类是AI技术的主导者，AI技术应该服务于人类的福",AI技术会完全取代人类，统治世,AI技术的发展不需要考虑人类的利,AI技术有自己的意识和情感，和人类一,""",A,人类始终是AI技术的主导者，AI技术的发展和应用，必须以服务人类福祉、促进社会进步为核心目标；AI没有自主意识和情感，不会完全取代人类，更不会统治世界",
"177,人工智能社会责任,single,""单项选择",下列行为中，体现了科技向善理念的是,,"""""用AI技术开发辅助工具，帮助听障人士进行沟",用AI技术进行网络诈,"用AI技术窃取别人的个人信息"",用AI技术制作恶意软",",A,用AI技术开发辅助工具帮助听障人士沟通，是用技术促进社会包容、造福弱势群体，践行了科技向善的核心理念；其他选项均是违背科技向善的违法违规行为",
"183,人工智能社会责任,multiple,""多项选择",下列关于算法偏见的说法，正确的有,,"""""算法偏见往往源于训练数据的偏差与不完","算法偏见会导致不公平的结果，损害社会公平"",我们需要通过优化数据与算法，修正和避免算法偏",算法偏见是无法避免的，不需要关,",""A,B,C"",算法偏见主要源于训练数据的偏差、算法设计的缺陷，会导致不公平、歧视性的结果，损害社会公平；我们必须通过优化数据、完善算法、公平性检测等方式修正和避免算法偏见，而非无视",
"186,人工智能社会责任,multiple,""多项选择",使用AI工具时，我们应该遵守的规范有,,"""""遵守法律法规，不做违法违规的事情"",尊重他人隐私与知识产权，不侵犯他人合法权",不制作、不传播虚假信息与不良内,随便使用AI工具，不需要任何约,",""A,B,C"",使用AI工具时，必须遵守法律法规、尊重他人隐私与知识产权、不制作传播虚假信息与不良内容；无约束地随意使用AI工具，可能会带来伦理风险和法律后果",
